,company/brand,stage,amount,headquarter,what_it_does,year_collected,investor,sector,founded,founders
803,FabHotels,,1000000.0,Gurugram,Fabhotels is the online aggregator for hotel rooms. It aims to provide standardized services at economical budgets.,2020,"RB Investments Pte. Ltd, Goldman Sachs",Travel & Tourism,2015.0,"Adarsh Manpuria, Vaibhav Aggarwal"
804,Freshokartz,Pre-series A,1000000.0,"Jaipur, Rajastan","Freshokartz provides soil data based crop and fertilisers recommendation to farmers and delivery seeds, pesticides",2020,"Rajasthan Venture Capital Fund, Innovana Thinklabs",Agriculture,2016.0,"Chandrakanta, Rajendra Lora"
805,FlexiLoans,Debt,6000000.0,Mumbai,"an online lending platform started with an endeavour to solve the problem that SMEs face in accessing Quick, Flexible and Adequate funds for growing their Businesses.",2020,>Vikram Sud,Financial Services,2016.0,"Abhishek Kothari, Deepak Jain, Manish Lunia, Ritesh Jain"
806,Agrix,,2743000.0,Patna,"Farming-as-a-service (covering farm machinery and agri input services) and provides market linkages, especially for fragmented farm owners.",2020,Maple Capital Advisors,Agriculture,2020.0,"Nilay Pandey, Saurav Singh, Vivek Kumar"
807,BharatAgri,Pre-series A,2743000.0,Pune,A Smart Farming Technology Platform for Indian Farmers,2020,"021 Capital, India Quotient",Agriculture,2017.0,"Siddharth Dialani, Sai Gole"
808,FreshtoHome,Series C,121000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar",Retail,2015.0,Shan Kadavil
809,Credable,,4500000.0,Mumbai,CredAble provides working capital & supply chain finance programs for large enterprises and their suppliers and distributors.,2020,Oaks Asset Management,Financial Services,2017.0,Nirav Choksi
810,Railofy,Seed,5000000.0,Mumbai,Railofy is a WL & RAC protection that enables waitlisted passengers to reach their destination at the lowest possible price.,2020,"Roots Ventures, Better Capital",Transportation & Logistics,2019.0,"Rohan Dedhia, Vaibhav Saraf, Hrishabh Sanghvi"
811,Finova Capital,,55000000.0,"Jaipur, Rajastan",Finova Capital is a non-banking financial company.,2020,"Sequoia Capital India, Faering Capital",Financial Services,2016.0,"Mohit Sahney, Sunita Sahney"
812,Teachmint,Seed,3500000.0,Bangalore,Teachmint is an easy to use platform for tutors to conduct unlimited live classes and manage their classrooms,2020,Lightspeed India,Education,2020.0,"Mihir, Payoj Jain, Divyansh Bordia, Anshuman Kumar"
813,Peel-Works,,3000000.0,Mumbai,Peel-Works is a tech and data analytics company specializing in e-commerce for corner stores.,2020,"CESC Ventures, Brun Raschle",Retail,2010.0,"Sachin Chhabra, Nidhi Ramachandran"
814,Janani,Pre-seed,200000.0,Bangalore,Janani aims to make the process of infertility treatment and assisted fertilisation easier,2020,9Unicorns,Healthcare & Life Sciences,2020.0,Nilay Mehrotra
815,Credgenics,Seed,3300000.0,Gurugram,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,"Accel, Sunder Nookala",Financial Services,2018.0,"Anand Agrawal, Mayank Khera, Rishabh Goel"
816,Finelistings,,2743000.0,New Delhi,A Used Luxury Car Marketplace,2020,Justdial,Transportation & Logistics,2015.0,Aneesh Mathur
817,Wellversed,Pre-series A,2743000.0,New Delhi,Wellversed Health enables production of customised clinical food products specific to health requirements of a demography or an individual.,2020,"KLUB Works, Shankar Narayanan",Healthcare & Life Sciences,2018.0,"Aanan Khurma, Aditya Seth, Ripunjay Chachan"
818,Jumbotail,Series B2,11000000.0,Bangalore,"Jumbotail is solving an important problem of organising food and grocery ecosystem in India through technology, data science and design.",2020,Nexus Venture Partners and 23 High Networth Individuals (HNIs),Retail,2015.0,"Ashish Jhina, Karthik Venkateswaran"
819,Winzo,,2000000.0,New Delhi,WinZO is a mobile e-sports social gaming platform that offers monetary benefits and prizes to players.,2020,"Makers Fund, Courtside Ventures",Media & Entertainment,2018.0,"Paavan Nanda, Saumya Singh Rathore"
820,mCaffeine,Series B,5000000.0,Mumbai,"MCaffeine is a personal care brand that offers caffein-infused face, body, and hair care products.",2020,"RPSG Ventures, Amicus Capital",Consumer Goods,2015.0,"Tarun Sharma, Vikas Lachhwani"
821,Pocket FM,Series A,5000000.0,Bangalore,Pocket FM is an audiobook & podcast app that brings you over 10K+ popular audiobooks.,2020,"Times Group, Lightspeed",Consumer Goods,2018.0,Rohan Nayak
822,Snackible,Bridge,2743000.0,Mumbai,Snackible operates a health-food production company designed to sell healthy snack food via online and offline channels.,2020,"Mumbai Angels, Murali Nair",Healthcare & Life Sciences,2015.0,
823,FreshtoHome,,16000000.0,Bangalore,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,"Ascent Capital, Iron Pillar",Retail,2015.0,Shan Kadavil
824,Jumbotail,Series B2,11000000.0,Bangalore,Jumbotail is solving an important problem of organising food and grocery ecosystem in India,2020,"Nexus Venture Partners, Capria Ventures",Retail,2015.0,"Ashish Jhina, Karthik Venkateswaran"
825,Nykaa,,2743000.0,Mumbai,Nykaa is an online marketplace for different beauty and wellness products.,2020,"Katrina Kaif, Steadview Capital",Retail,2012.0,Falguni Nayar
826,TagZ Foods,,2743000.0,Bangalore,TagZ Foods is a supplier of snacks and food products.,2020,"Exfinity Venture Partners, Shesh Kondi",Consumer Goods,2019.0,"Sagar Bhalotia, Anish Basu Roy"
827,Genius Teacher,,2000000.0,Mumbai,"Genius Teacher creates engaging educational content, delivers fun learning experience to the students",2020,"Sandeep Tandon, Daniel Lapus",Education,2016.0,"Advitiya Sharma, Gaurav Lahoti"
828,Krimanshi Feeds,,500000.0,Jodhpur,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,"Rajasthan Venture Capital Fund, AIM Smart City",Consumer Goods,2015.0,Nikhil Bohra
829,Origo,Debt,4000000.0,Gurugram,Provider of marketing and warehousing services for agricultural commodities.,2020,Northern Arc Capital,Agriculture,2010.0,"Sunoor Kaul,"
830,GetVantage,Seed,5000000.0,Mumbai,GetVantage is India and Southeast Asia's first fintech enabled Revenue-based financing platform.,2020,"Samyakth Capital, Venture Catalysts",Financial Services,2019.0,"Amit Srivastava, Bhavik Vasa, Sachin Tagra, Sachin Tagra"
